Player,Age_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Age_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,No.,Pos,Exp,Age,2024-25,yearsLeft
Stephen Curry,36.0,PG,30,30,31.4,7.5,16.8,0.446,4.4,10.6,0.411,3.1,6.2,0.505,0.575,3.2,3.4,0.932,0.5,4.6,5.1,6.1,1.2,0.5,3.1,1.2,22.6,2.0,36.0,PG,30,30,941,21.0,0.615,0.632,0.204,1.5,15.9,8.5,31.5,1.8,1.6,14.5,28.6,1.8,1.2,3.0,0.152,5.8,0.3,6.1,1.9,30,PG,15,36.0,55761216.0,3
Andrew Wiggins,29.0,SF,32,32,29.0,5.8,12.9,0.454,2.1,5.3,0.394,3.8,7.6,0.496,0.535,2.7,3.3,0.794,1.5,2.9,4.4,2.3,0.9,0.8,1.2,1.8,16.4,3.0,29.0,SF,32,32,928,16.6,0.573,0.413,0.26,5.3,10.8,7.9,12.2,1.5,2.7,7.8,22.5,1.4,1.0,2.4,0.126,1.6,-0.3,1.2,0.8,22,SF,10,29.0,26276786.0,3
Draymond Green,34.0,PF,33,31,28.6,3.0,7.3,0.417,1.4,3.8,0.362,1.6,3.4,0.478,0.513,1.2,2.0,0.615,1.1,5.1,6.2,5.6,1.1,1.2,2.5,3.2,8.7,1.0,34.0,PF,33,31,943,12.0,0.532,0.529,0.271,3.8,19.3,11.3,26.4,1.8,3.8,23.8,15.7,0.1,1.5,1.6,0.079,-2.2,2.4,0.2,0.5,23,PF,12,34.0,24107143.0,3
Dennis Schröder,31.0,PG,13,13,28.4,3.5,10.7,0.331,1.2,4.9,0.25,2.3,5.8,0.4,0.388,1.6,2.1,0.778,0.5,1.7,2.2,4.7,0.7,0.2,2.1,2.7,9.9,12.0,31.0,PG,13,13,369,5.9,0.427,0.46,0.194,1.7,6.5,4.0,22.7,1.2,0.5,15.2,20.2,-0.5,0.3,-0.2,-0.027,-6.1,-1.8,-7.9,-0.6,71,SG,11,31.0,13025250.0,1
Jonathan Kuminga,22.0,PF,32,10,26.0,6.1,13.2,0.459,1.3,3.6,0.345,4.8,9.6,0.502,0.506,3.4,5.3,0.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,5.0,22.0,PF,32,10,832,16.7,0.539,0.274,0.4,5.4,15.0,10.0,13.6,1.7,2.1,9.1,27.6,0.5,1.0,1.5,0.088,0.5,-0.3,0.2,0.5,0,PF,3,22.0,7636307.0,1
Brandin Podziemski,21.0,SG,30,8,24.2,3.1,7.7,0.404,1.0,3.5,0.295,2.1,4.2,0.496,0.472,0.7,1.0,0.733,1.0,3.5,4.5,3.2,1.0,0.2,1.0,1.5,8.0,7.0,21.0,SG,30,8,725,11.5,0.491,0.457,0.13,4.3,15.6,9.8,18.3,1.9,0.9,11.0,15.8,0.3,0.9,1.2,0.08,-2.3,0.9,-1.4,0.1,2,SG,1,21.0,3519960.0,3
Buddy Hield,32.0,SG,38,9,23.2,4.5,10.6,0.422,2.8,7.3,0.381,1.7,3.3,0.512,0.553,0.7,0.8,0.9,0.6,2.8,3.4,1.6,0.7,0.2,1.2,1.9,12.4,4.0,32.0,SG,38,9,883,12.9,0.568,0.69,0.074,2.6,13.3,7.8,10.1,1.5,1.0,10.0,21.9,0.4,0.9,1.3,0.073,-0.1,-0.7,-0.8,0.3,7,SG,8,32.0,8780488.0,4
Trayce Jackson-Davis,24.0,C,37,30,19.9,3.8,6.5,0.589,0.0,0.0,0.0,3.8,6.5,0.592,0.589,1.1,1.7,0.641,2.1,4.0,6.1,2.2,0.5,0.8,0.9,1.4,8.8,6.0,24.0,C,37,30,735,19.4,0.604,0.004,0.266,10.8,21.7,16.1,16.5,1.2,4.0,10.6,17.2,1.6,1.1,2.7,0.176,0.9,1.3,2.2,0.8,32,C,1,24.0,1891857.0,3
Lindy Waters III,27.0,SG,31,9,18.6,2.3,5.8,0.387,1.4,4.2,0.333,0.9,1.7,0.519,0.506,0.2,0.3,0.75,0.5,2.2,2.6,1.2,0.6,0.3,0.5,1.6,6.1,8.0,27.0,SG,31,9,577,9.0,0.512,0.713,0.044,2.5,12.6,7.4,8.8,1.7,1.3,7.1,14.4,0.1,0.6,0.8,0.065,-3.4,0.3,-3.1,-0.2,43,SG,3,27.0,2196970.0,1
Moses Moody,22.0,SG,31,4,16.2,2.7,6.3,0.434,1.5,3.8,0.39,1.3,2.5,0.5,0.551,1.0,1.4,0.738,0.4,1.3,1.7,0.9,0.5,0.2,0.8,1.3,8.0,9.0,22.0,SG,31,4,502,11.8,0.576,0.602,0.214,2.6,8.9,5.6,7.9,1.4,1.1,10.1,19.9,0.3,0.5,0.8,0.072,-1.3,-0.6,-1.9,0.0,4,SG,3,22.0,5803269.0,4
Kevon Looney,28.0,C,32,5,15.6,2.2,4.1,0.538,0.0,0.0,0.0,2.2,4.1,0.542,0.538,0.6,1.4,0.422,3.0,3.8,6.8,1.7,0.8,0.3,0.6,2.2,5.0,10.0,28.0,C,32,5,499,18.4,0.53,0.008,0.341,19.5,26.1,22.7,14.9,2.6,1.7,11.6,14.4,1.0,0.9,1.9,0.183,-0.4,0.8,0.4,0.3,5,C,9,28.0,8000000.0,1
Kyle Anderson,31.0,PF,32,3,15.2,2.1,4.8,0.431,0.5,1.5,0.347,1.5,3.3,0.471,0.487,0.5,0.8,0.625,0.8,2.4,3.2,2.3,0.8,0.6,0.6,1.1,5.1,11.0,31.0,PF,32,3,485,14.7,0.501,0.32,0.157,5.2,17.0,10.9,21.6,2.5,3.5,9.9,15.7,0.5,0.8,1.3,0.124,-0.5,2.4,1.9,0.5,1,PF,10,31.0,8780488.0,3
Gary Payton II,32.0,SG,28,4,13.1,2.1,3.8,0.547,0.2,1.1,0.156,1.9,2.6,0.716,0.571,0.3,0.5,0.6,1.2,1.6,2.8,1.2,0.7,0.4,0.5,1.4,4.6,13.0,32.0,SG,28,4,368,15.2,0.577,0.302,0.142,9.1,13.3,11.1,13.3,2.6,2.6,11.1,14.4,0.5,0.5,1.1,0.141,-1.2,1.9,0.7,0.2,0,SG,8,32.0,9130000.0,1
Gui Santos,22.0,PF,14,0,8.1,0.9,1.7,0.5,0.5,1.2,0.412,0.4,0.5,0.714,0.646,0.2,0.4,0.5,0.5,0.9,1.4,0.8,0.4,0.1,0.6,0.9,2.4,15.0,22.0,PF,14,0,113,10.6,0.638,0.708,0.25,6.3,12.5,9.3,13.0,2.1,1.7,25.3,13.2,0.0,0.1,0.2,0.079,-2.9,0.9,-2.0,0.0,15,PF,1,22.0,1891857.0,2
