Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Stephen Curry,36,PG,30,30,31.4,7.5,16.8,.446,4.4,10.6,.411,3.1,6.2,.505,.575,3.2,3.4,.932,0.5,4.6,5.1,6.1,1.2,0.5,3.1,1.2,22.6,,curryst01
2,Andrew Wiggins,29,SF,32,32,29.0,5.8,12.9,.454,2.1,5.3,.394,3.8,7.6,.496,.535,2.7,3.3,.794,1.5,2.9,4.4,2.3,0.9,0.8,1.2,1.8,16.4,,wiggian01
3,Draymond Green,34,PF,33,31,28.6,3.0,7.3,.417,1.4,3.8,.362,1.6,3.4,.478,.513,1.2,2.0,.615,1.1,5.1,6.2,5.6,1.1,1.2,2.5,3.2,8.7,,greendr01
4,Dennis Schröder,31,PG,13,13,28.4,3.5,10.7,.331,1.2,4.9,.250,2.3,5.8,.400,.388,1.6,2.1,.778,0.5,1.7,2.2,4.7,0.7,0.2,2.1,2.7,9.9,,schrode01
5,Jonathan Kuminga,22,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,,kuminjo01
6,Brandin Podziemski,21,SG,30,8,24.2,3.1,7.7,.404,1.0,3.5,.295,2.1,4.2,.496,.472,0.7,1.0,.733,1.0,3.5,4.5,3.2,1.0,0.2,1.0,1.5,8.0,,podzibr01
7,Buddy Hield,32,SG,38,9,23.2,4.5,10.6,.422,2.8,7.3,.381,1.7,3.3,.512,.553,0.7,0.8,.900,0.6,2.8,3.4,1.6,0.7,0.2,1.2,1.9,12.4,,hieldbu01
8,De'Anthony Melton,26,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,,meltode01
9,Trayce Jackson-Davis,24,C,37,30,19.9,3.8,6.5,.589,0.0,0.0,.000,3.8,6.5,.592,.589,1.1,1.7,.641,2.1,4.0,6.1,2.2,0.5,0.8,0.9,1.4,8.8,,jackstr02
10,Lindy Waters III,27,SG,31,9,18.6,2.3,5.8,.387,1.4,4.2,.333,0.9,1.7,.519,.506,0.2,0.3,.750,0.5,2.2,2.6,1.2,0.6,0.3,0.5,1.6,6.1,,waterli01
11,Moses Moody,22,SG,31,4,16.2,2.7,6.3,.434,1.5,3.8,.390,1.3,2.5,.500,.551,1.0,1.4,.738,0.4,1.3,1.7,0.9,0.5,0.2,0.8,1.3,8.0,,moodymo01
12,Kevon Looney,28,C,32,5,15.6,2.2,4.1,.538,0.0,0.0,.000,2.2,4.1,.542,.538,0.6,1.4,.422,3.0,3.8,6.8,1.7,0.8,0.3,0.6,2.2,5.0,,looneke01
13,Kyle Anderson,31,PF,32,3,15.2,2.1,4.8,.431,0.5,1.5,.347,1.5,3.3,.471,.487,0.5,0.8,.625,0.8,2.4,3.2,2.3,0.8,0.6,0.6,1.1,5.1,,anderky01
14,Gary Payton II,32,SG,28,4,13.1,2.1,3.8,.547,0.2,1.1,.156,1.9,2.6,.716,.571,0.3,0.5,.600,1.2,1.6,2.8,1.2,0.7,0.4,0.5,1.4,4.6,,paytoga02
15,Gui Santos,22,PF,14,0,8.1,0.9,1.7,.500,0.5,1.2,.412,0.4,0.5,.714,.646,0.2,0.4,.500,0.5,0.9,1.4,0.8,0.4,0.1,0.6,0.9,2.4,,santogu01
16,Pat Spencer,28,PG,16,0,6.8,1.0,2.3,.432,0.1,0.4,.143,0.9,1.9,.500,.446,0.4,0.6,.700,0.4,0.8,1.3,1.5,0.5,0.1,0.6,0.4,2.5,,spencpa01
17,Quinten Post,24,PF,3,0,4.3,1.0,2.3,.429,0.3,1.3,.250,0.7,1.0,.667,.500,0.3,0.3,1.000,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,2.7,,postqu01
18,Reece Beekman,23,PG,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,,beekmre01
,Team Totals,,,38,38,240.7,41.1,91.7,.448,15.0,41.4,.363,26.1,50.3,.518,.530,14.1,19.8,.711,12.7,33.8,46.4,28.6,8.9,5.4,14.5,19.3,111.3,,-9999